Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-15,Jack Reacher: Never Go Back,2016,https://boxd.it/97CHkT,4,,"sehr solider Film mit Tom Cruise mal wieder. Mitte hat sich etwas gezogen aber halb so wild. Wenn man den ersten Teil gemocht hat, ist man hier gut aufgehoben
",,2025-03-14
2025-03-15,Smile,2022,https://boxd.it/97CHUd,2.5,,"Gute Idee, nicht so geile umsetzung. Fängt sehr interessant an, mitte zieht sich sehr stark und ende ist gefühlt geld ausgegangen. Trotzdessen paar ok szenen hier und da, aber mehr auch nicht
",,2025-03-14
2025-03-15,Passengers,2016,https://boxd.it/97CISR,3,,"0815 ich komm aus dem Schlaf raus und bin der einzige da was mach ich jetzt. Plottwist war OH NEIN SCHIFF GEHT KAPUTT ICH MUSS REPARIEREN ABER ICH KÖNNTE STERBEN. Gleiche Idee, durchgekaut weiß nicht wie oft schon. Dazu noch verpackt als ein Drama/Romantik Film. Kann man angucken, kann man sich aber auch sparen und somit verpasst man nichts.
",,2025-03-14
2025-03-15,The Cloverfield Paradox,2018,https://boxd.it/97CJnv,4,,"Der Nachfolger von dem Film Cloverfield der mehr auf die hintergeschichte eingeht. Wissenschafts crew entdeckt was neues und hat probleme. Coole Szenen, coole Idee dahinter und gut umgesetzt. Gucken lohnt sich!
",,2025-03-14
2025-03-15,Cloverfield,2008,https://boxd.it/97CL1B,4.5,,"Ein klassiker des Found-Footage horrors. Sehr gut gemacht, man fiebert mit den Schauspielern und ist immer über den ganzen Film gespannt wie es weiter geht. Leute die Horror mögen, ist es ein Must Watch!
",,2025-03-14
2025-03-15,All Quiet on the Western Front,2022,https://boxd.it/97CLvh,4.5,,"SEHR emotionaler Film das den grauen eines Krieges zeigt ( in dem Fall ersten Weltkrieg ). Sehr gute Schauspielleistung, sehr gute cinematografische Szenen. Angucken SOLLTE man, ist aber nichts für schwache nerven
",,2025-03-14
2025-03-15,Incantation,2022,https://boxd.it/97CLYj,3,,"guter Film wenn man auf die Idee von Flüchen steht. Paar ekelhafte szenen und sehr abstrakt teilweise auch. Kann man mal gucken
",,2025-03-14
2025-03-15,The Core,2003,https://boxd.it/97CMu5,3.5,,"etwas älterer Film, hat sich aber ziemlich nice gehalten. Hat mich gewundert warum Kritiker diesen Film so schlecht bewertet haben. Ist ganz cool mal die ""andere"" seite sich vorzustellen. Kann man sich mal anschauen!
",,2025-03-14
2025-03-15,Troll,2022,https://boxd.it/97CN9R,3,,"gute Anspielung auf Märchen und Volksgeschichte und am Anfang gut umgesetzt. Gegen Ende lässt dieser Film aber etwas nach, und es fühlt sich an als würde etwas das Budget angehen. Ende hat auch Angespielungen auf einen weitere Teile, mal schauen. Kann man mal gucken
",,2025-03-14
2025-03-15,Black Adam,2022,https://boxd.it/97CNOF,2.5,,"Ist halt 0815 superhelden Film mit kleinem plottwist das der Star nicht so ganz ""heldenhaft"" sich verhält. Kann man mal schauen, fand nichts besonderes
",,2025-03-14
